"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Bui, Malia","68.15","29.33","76.46","37.58","44.72","72.39","51.06","81.59"
"Carta, Victoria","96.63","77.75","50.58","57.3","35.54","76.34","78.19","39.96"
"Garcia, Brandi","43.17","73.97","24.55","23.64","73.44","53.4","99.95","42.39"
"Gozeh, Jacob","32.11","86.53","38.07","96.16","76.82","25.89","31.99","27.06"
"Roberts, Natelle Rae","79.22","28.17","78.87","76.16","67.76","81.68","61.79","64.89"
"Proctor, Chasae","56.14","56.26","33.92","40.75","97.48","29.82","68.87","16.68"
"Espinoza, Steven","49.07","80.3","33.35","59.27","35.5","60.33","82.2","39.55"
"Safadi, Troy","81.3","60.87","84.85","64.95","82.54","37.94","61.2","43.68"
"Schartz, Michael","21.87","58.17","66.35","82.42","84.69","42.94","40.91","73.86"
"Whitaker, Tique","56.9","93.18","40.78","95.72","94.28","85.15","98.62","55.61"
"Cooper, Sean","56.01","64.78","46.82","83.05","68.38","27.89","61.49","48.41"
"Sena, Alejandro","59.29","56.92","55.27","85.47","52.6","94.93","30.44","17.81"
"Neou, Matthew-Angelo","65.77","59.48","78.26","60.95","95.85","53.7","96.82","93.91"
"Tesfamariam, Moesha","67.2","80.37","74.26","41.42","9.98","53.95","61.53","97.03"
"Loi, Andrew","44.2","50.32","99.13","18.58","98.96","60.77","25.65","92.52"
"Madachy, Curran","84.58","53.87","61.35","0.94","95.47","62.8","53.21","41.96"
"Goudeau, Brandon","77.19","61.45","99.81","46.83","77.24","81.14","74","37.49"
"Mckinley, Elizabeth","40.41","97.19","51.81","65.81","99.32","22.28","75.11","64.52"
"Kaur, Karthik","3.66","78.59","36.13","31.75","56.41","96.73","67.54","97.23"
"Howard, Sherman","58.95","74.55","93.37","62.1","94.61","80.28","32.68","82.98"
"Howell, Courtney","55.69","22.28","60.57","20.49","60.26","26.22","70.28","6.54"
"Quintanilla, Daniel","48.02","56.5","53.11","64.87","61.99","87.76","71.25","51.45"
"Martinez, Isabelle","79.17","78.69","36.68","43.04","72.2","58.44","64.64","19.66"
"Sapien, Miccayla","42.22","57.89","42.08","46.91","63.35","51.15","83.07","91.38"
"Blackwood, Philicia","97.73","65.76","84.85","61.04","74.81","98.46","40.01","52.73"
"Martinez, Colby","39.21","83.07","95.84","67.96","73.14","81.09","48.41","74.98"
"Barnes, Syed","29.49","92.98","16.83","81.42","35.69","85.56","66.43","51.09"
"Fitzgerald, Diana","71.88","62.75","45.58","68.12","52.62","52.03","62.41","65.11"
"Cady, Victoria","79.79","57.39","65.83","83.37","45.97","80.58","49.82","99.98"
